和名,正式名,a,b,,,,,,,,,,,,,,,,
ノコギリダイ,Gnathodentex aureolineatus,1.0605,3.2959,,,,,,,,,,,,,,,,
ヨコシマクロダイ,Monotaxis grandoculis,4.4682,2.8501,,,,,,,,,,,,,,,,
シロダイ,Gymnocranius euanus,4.0890,2.8423,,,,,,,,,,,,,,,,
タマメイチ,Gymnocranius  sp.,7.1373,2.6972,,,,,,,,,,,,,,,,
ゴマメイチ  (仮名）*4,Gymnocranius  sp.2,3.9274,2.8501,,,,,,,,,,,,,,,,
オナガメイチダイ,Gymnocranius elongatus,5.1634,2.7598,,,,,,,,,,,,,,,,
メイチダイ,Gymnocranius griseus,1.9000,3.0939,,,,,,,,,,,,,,,,
サザナミダイ,Gymnocranius grandoculis,5.0519,2.7785,,,,,,,,,,,,,,,,
ナガメイチ,Gymnocranius microdon,3.0021,2.9307,,,,,,,,,,,,,,,,
マトフエフキ,Lethrinus harak,4.2960,2.7768,,,,,,,,,,,,,,,,
アマクチビ,Lethrinus erythracanthus,2.3434,2.9639,,,,,,,,,,,,,,,,
イソフエフキ,Lethrinus atkinsoni,3.0597,2.9233,,,,,,,,,,,,,,,,
ハマフエフキ,Lethrinus nebulosus,2.4201,2.9320,,,,,,,,,,,,,,,,
ハナフエフキ,Lethrinus ornatus,2.9430,2.9409,,,,,,,,,,,,,,,,
タテシマフエフキ,Lethrinus obsoletus,4.5254,2.7558,,,,,,,,,,,,,,,,
キツネフエフキ,Lethrinus olivaceus,2.3778,2.8842,,,,,,,,,,,,,,,,
シモフリフエフキ,Lethrinus lentjan,3.2545,2.8616,,,,,,,,,,,,,,,,
ムネアカクチビ,Lethrinus xanthochilus,1.5144,3.0486,,,,,,,,,,,,,,,,
ヤエヤマフエフキ,Lethrinus reticulatus,1.8260,3.0127,,,,,,,,,,,,,,,,
ホオアカクチビ,Lethrinus rubrioperculatus,2.6692,2.9112,,,,,,,,,,,,,,,,
アミフエフキ,Lethrinus semicinctus,39.3823,2.0505,,,,,,,,,,,,,,,,
ヨコシマフエフキ,Lethrinus amboinensis,23.9167,2.3151,,,,,,,,,,,,,,,,
ミンサーフエフキ,Lethrinus ravus,2.5475,2.9322,,,,,,,,,,,,,,,,
タイワンブダイ,Calotomus carolinus,1.4236,3.1387,,,,,,,,,,,,,,,,
カンムリブダイ,Bolbometopon muricatum,2.4813,2.9456,,,,,,,,,,,,,,,,
イロブダイ,Cetoscarus bicolor,1.7853,3.0499,,,,,,,,,,,,,,,,
キツネブダイ,Hipposcarus longiceps,1.3653,3.0963,,,,,,,,,,,,,,,,
コブブダイ,Chlorurus oedema,1.9105,3.0565,,,,,,,,,,,,,,,,
